sku,microinvest_code,name_bg,unit,unit_raw,quantity,purchase_price,retail_price,selling_price
NOC-B8DEB606EE,,МРЕЖИ   0.5     1/2х1      0.5м.         25М.,bundle,ТОП,0.000,0.00,0.00,0.00
NOC-5B334BFBE0,,МРЕЖИ 0.5       1/2х1/2    0.5м.         25М.,bundle,ТОП,0.000,0.00,0.00,0.00
NOC-F1962FD42E,,МРЕЖИ  0.5      3/4х3/4    0.5м.      25М.,bundle,ТОП,0.000,0.00,0.00,0.00
NOC-6119075959,,СКВТM 6/ 60Ф 8  АНКЕР ВТУЛКОВ М 6  8х 60/200In,pcs,БР.,0.000,0.00,0.00,0.12
NOC-E7B880941A,,СКВТM 8/ 60Ф10  АНКЕР ВТУЛКОВ М 8 10х 60/100In,pcs,БР.,0.000,0.00,0.00,0.17
NOC-F2E6C4E29C,,СКВТM 8/ 80Ф10  АНКЕР ВТУЛКОВ М 8 10х 80/100In,pcs,БР.,0.000,0.00,0.00,0.21
NOC-D94A8AC792,,СКВТM10/ 70Ф12  АНКЕР ВТУЛКОВ М10 12х 70/100In,pcs,БР.,0.000,0.00,0.00,0.27
NOC-A6D89E3CA3,,СКМ7TDN 6/35    АНКЕР КЛИН ОК.ТАВ.6х35/100бр.,box,КУТИЯ,0.000,0.00,0.00,3.68
NOC-4D8C3CEFC4,,СКВТ 8/ 60      АНКЕР СЕГМ.  8х 60/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.15
NOC-B96C3F1BCA,,СКВТ 8/ 75      АНКЕР СЕГМ.  8х 75/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.16
NOC-6778DAA72E,,СКВТ 8/ 90      АНКЕР СЕГМ.  8х 90/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.20
NOC-0608E8C2DE,,СКВТ 8/115      АНКЕР СЕГМ.  8х115/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.24
NOC-D3AB525D0D,,СКВТ 8/130      АНКЕР СЕГМ.  8х130/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.32
NOC-49DF0EE120,,СКВТ10/ 80      АНКЕР СЕГМ. 10х 80/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.24
NOC-C47432DE39,,СКВТ10/ 90      АНКЕР СЕГМ. 10х 90/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.25
NOC-B57479B762,,СКВТ10/100      АНКЕР СЕГМ. 10х100/100 INDEX,pcs,БР.,0.000,0.00,0.00,0.27
NOC-B0B9CAED24,,СКВТ10/120      АНКЕР СЕГМ. 10х120/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.31
NOC-438D774423,,СКВТ10/140      АНКЕР СЕГМ. 10х140/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.35
NOC-F4ABC15A58,,СКВТ10/150      АНКЕР СЕГМ. 10х150/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.41
NOC-0EC17540C3,,СКВТ10/170      АНКЕР СЕГМ. 10х170/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.48
NOC-45FCE7DD0F,,СКВТ10/210      АНКЕР СЕГМ. 10х210/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.81
NOC-C34DE3078F,,СКВТ12/ 90      АНКЕР СЕГМ. 12х 90/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.35
NOC-8849FB28CB,,СКВТ12/110      АНКЕР СЕГМ. 12х110/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.39
NOC-4FECE9FD76,,СКВТ12/120      АНКЕР СЕГМ. 12х120/ 50 INDEX,pcs,БР.,0.000,0.00,0.00,0.44
