microinvest_code,name_bg,unit_raw,unit,quantity,purchase_price
03090019,22003 МАКЕЛ КЛЮЧ 2-ен МИМОЗА,БР.,pcs,45.000,1.21
03090067,22005 МАКЕЛ КЛЮЧ ДЕВ.МИМОЗА,БР.,pcs,84.000,1.24
03090078,22007 МАКЕЛ БУКСА ТV МИМОЗА,БР.,pcs,6.000,1.28
03090072,22010 МАКЕЛ КЛЮЧ ЗВЪНЕЦ МИМОЗА,БР.,pcs,14.000,0.81
03090128,22012 РАМКА ДВОЙНА *,БР.,pcs,4.000,0.69
03090129,22013 РАМКА ТРОЙНА *,БР.,pcs,17.000,0.98
03090071,22014 МАКЕЛ БУКСА ТЕЛЕФ.МИМОЗА,БР.,pcs,15.000,0.82
03090073,22019 КОНТАКТ УПС МИМОЗА *,БР.,pcs,17.000,0.85
03090020,22021 МАКЕЛ КЛЮЧ 1-ен св.МИМОЗ,БР.,pcs,62.000,1.31
03090074,22023 МАКЕЛ КЛЮЧ 2-ен св.МИМОЗ,БР.,pcs,20.000,1.16
03090068,22025 МАКЕЛ КЛЮЧ ДЕВ.св.МИМОЗА,БР.,pcs,7.000,0.93
03090080,22026 КЛЮЧ ДВОЕН ДЕВЯТОР МИМО*,БР.,pcs,9.000,1.24
03090024,22092 МАКЕЛ КЛЮЧ ТРИКЛ.3+3 *,БР.,pcs,7.000,1.02
03090066,32001 КЛЮЧ КРЕМ МИМОЗА *,БР.,pcs,14.000,0.98
03090065,32003 КЛЮЧ КРЕМ ДВОЕН МИМОЗА*,БР.,pcs,7.000,0.93
03090147,32004 КЛЮЧ КРЕМ СТЪЛБ.МИМОЗА*,БР.,pcs,9.000,1.10
03090079,32010 КЛЮЧ КРЕМ ЗВЪНЕЦ МИМОЗА,БР.,pcs,2.000,0.81
03090064,32025 КЛЮЧ КРЕМ ЕД СВЕТ ДЕВЯТ*,БР.,pcs,15.000,0.93
03090081,32028 КОНТАКТ КРЕМ МИМОЗА,БР.,pcs,2.000,1.21
03090025,45101 МАКЕЛ КЛЮЧ 1-ЕН О/И,БР.,pcs,15.000,0.73
03090148,55001 МАКЕЛ КЛЮЧ 1-ен БЯЛ,БР.,pcs,27.000,1.06
03090152,55003 МАКЕЛ КЛЮЧ 2-ен БЯЛ,БР.,pcs,15.000,1.30
03090149,55005 МАКЕЛ КЛЮЧ ДЕВ.БЯЛ,БР.,pcs,31.000,1.18
03090088,63002 MAKEL ТАБЛО 2КА СКРИТ М*,БР.,pcs,6.000,1.75
03090026,63004 MAKEL ТАБЛО 4 СКРИТ МОН*,БР.,pcs,1.000,2.07
03090144,63116 MAKEL ТАБЛО 16 ОТКРИТ М*,БР.,pcs,4.000,6.64
03090036,63124 MAKEL ТАБЛО 24 ОТКР.МОН*,БР.,pcs,3.000,10.45
03090037,63136 MAKEL ТАБЛО 36 ОТКР.МОН*,БР.,pcs,1.000,11.71
04040046,6и9 ДЪРЖАЧ ЗА ЧАША *,БР.,pcs,7.000,2.99
04040050,6и9 ПРЪЧКА ЗА ХАВЛИЯ 45см.МАЛ*,БР.,pcs,2.000,3.65
04040051,6и9 ПРЪЧКА ЗА ХАВЛИЯ 55см.ГОЛ*,БР.,pcs,3.000,3.98
04040045,6и9 САПУНЕРКА СТЪКЛО *,БР.,pcs,8.000,2.99
04040049,6и9 ЧЕТКА ЗА WC СТЪКЛО *,БР.,pcs,2.000,3.98
03090038,71001 МАКЕЛ КЛЮЧ 1-ен ЛИЛИУМ,БР.,pcs,72.000,1.01
03090039,71003 МАКЕЛ КЛЮЧ 2-ен ЛИЛИУМ,БР.,pcs,78.000,1.24
03090040,71005 МАКЕЛ КЛЮЧ ДЕВ.ЛИЛИУМ,БР.,pcs,20.000,1.24
03090062,71007 МАКЕЛ БУКСА ТV ЛИЛИУМ,БР.,pcs,5.000,1.26
03090060,71010 МАКЕЛ КЛЮЧ ЗВЪНЕЦ ЛИЛИУМ,БР.,pcs,5.000,0.81
03090130,71011 ПОТЕНЦИОМЕТЪР,БР.,pcs,3.000,6.66
03090132,71013 РАМКА ТРОЙНА,БР.,pcs,8.000,0.98
03090059,71023 МАКЕЛ КЛЮЧ 2-ен св.ЛИЛИУ,БР.,pcs,5.000,1.16
03090050,71026 КЛЮЧ ДВОЕН ДЕВЯТОР ЛИЛИМ,БР.,pcs,9.000,1.24
03090142,71035 РОЗЕТКА КОМПЛ.+ГНЕЗД.ЛИЛ,БР.,pcs,5.000,3.46
03090042,71082 МАКЕЛ КОНТАКТ 2-ен ЛИЛИУ,БР.,pcs,1.000,1.65
03090061,71171 МАКЕЛ КЛЮЧ БОЙЛЕР ЛИЛИУМ,БР.,pcs,9.000,0.80
03090045,71201 МАКЕЛ КЛЮЧ 1-ен КРЕМ ЛИЛ,БР.,pcs,13.000,0.98
03090063,71203 МАКЕЛ КЛЮЧ 2-ен КРЕМ ЛИЛ,БР.,pcs,15.000,1.21
03090055,71204 МАКЕЛ КЛЮЧ СТЪЛБИЩЕ ЛИЛИ,БР.,pcs,7.000,0.76
03090146,71211 ПОТЕНЦИОМЕТЪР КРЕМ ЛИЛИ*,БР.,pcs,3.000,6.52
03090135,71212 РАМКА ДВОЙНА,БР.,pcs,10.000,0.51
03090134,71213 РАМКА ТРОЙНА,БР.,pcs,11.000,0.73
03090057,71214 МАКЕЛ БУКСА ТЕЛЕФ.ЛИЛИУМ,БР.,pcs,3.000,0.82
05070301,"АВТОМАТ ЗА ВРАТА""HEKTOR""**",БР.,pcs,1.000,7.67
CHК4003,АНТЕНА СТАЙНА БЯЛА М4-3**,БР,pcs,28.000,0.68
05070477,АНУБА  9х30 ЖЪЛТ ЦИНК /250/,БР.,pcs,61.000,0.18
05070476,АНУБА  9х30 ЦИНК /250/,БР.,pcs,12.000,0.16
05070479,АНУБА 13х42 ЖЪЛТ ЦИНК /100/,БР.,pcs,59.000,0.22
05070478,АНУБА 13х42 ЦИНК /100/,БР.,pcs,30.000,0.22
05070480,АНУБА 14х48 ЖЪЛТ ЦИНК /100/,БР.,pcs,55.000,0.23
05070483,АНУБА 16х52 ЖЪЛТ ЦИНК /50/,БР.,pcs,41.000,0.32
05070482,АНУБА 16х52 ЦИНК /50/,БР.,pcs,48.000,0.32
03050055,АП  6А-SCHNAIDER**,БР.,pcs,10.000,2.21
03050040,АП 10А-SCHNAIDER**,БР.,pcs,12.000,1.95
03050405,АП 10А-SCHNAIDER**3-ФАЗЕН,БР.,pcs,5.000,5.11
03050041,АП 16А-SCHNAIDER**,БР.,pcs,5.000,1.95
03050408,АП 16А-SCHNAIDER**2-ЕН,БР.,pcs,1.000,2.30
03050317,АП 16А-SCHNAIDER-3N/трифазен/*,БР.,pcs,3.000,6.17
03050159,АП 20А-SCHNAIDER**,БР.,pcs,2.000,1.95
03050407,АП 20А-SCHNAIDER**2-ЕН,БР.,pcs,4.000,2.56
03050406,АП 20А-SCHNAIDER**3-ФАЗЕН,БР.,pcs,4.000,5.11
03050409,АП 25А-SCHNAIDER**2-ЕН,БР.,pcs,1.000,3.07
03050507,АП 32А-SCHNAIDER 2-ЕН**,БР.,pcs,6.000,4.09
03050506,АП 40А-SCHNAIDER 2-ЕН**,БР.,pcs,4.000,4.09
03050046,АП 40А-SCHNAIDER**,БР.,pcs,28.000,2.27
03050045,АП 50А-SCHNAIDER**,БР.,pcs,6.000,3.34
03050044,АП 63А-SCHNAIDER**,БР.,pcs,6.000,4.04
0403 157,АСЕТ-АРМАТУРА ГОЛД 3/6л**,БР.,pcs,9.000,9.43
0403 154,АСЕТ-АРМАТУРА ГОЛД**,БР.,pcs,8.000,6.14
0403 150,АСЕТ-АРМАТУРА С БУТОН**,БР.,pcs,3.000,6.65
0403 130,АСЕТ-ВЪЗВРАТЕН КЛАПАН Ф110**,БР.,pcs,1.000,17.90
0403 131,АСЕТ-ВЪЗВРАТЕН КЛАПАН Ф160**,БР.,pcs,1.000,20.45
0403 141,АСЕТ-ВЪЗВРАТЕН КЛАПАН Ф200**,БР.,pcs,2.000,50.11
0403 129,АСЕТ-КЛАПАН ЗА WC**,БР.,pcs,23.000,0.51
01010012,БВГ ЕДНОКРАТНА 190гр.**,БР.,pcs,25.000,0.51
07010722,БИДОН 220л ЗА ФУРАЖИ,БР.,pcs,26.000,5.37
07010488,БИДОН 8л ВТОРА УПОТРЕБА,БР.,pcs,102.000,0.51
03030038,БОЙЛЕРНО ТАБЛО/Н.КИРОВ/-3наК**,БР.,pcs,6.000,5.76
05020233,БОРКОРОНА ЗА БЕТОН 80х350мм**,БР.,pcs,9.000,5.73
CHК6003,БОТУШ ВИСОК N-41  М6-151,БР,pcs,17.000,2.64
CHК6009,БОТУШ ВИСОК N-47  М6-157,БР,pcs,13.000,2.64
05060125,БОТУШИ ГУМЕНИ N41-къси,БР.,pcs,8.000,4.09
05060168,БОТУШИ ГУМЕНИ N46-къси,БР.,pcs,1.000,4.09
05060144,БОТУШИ ДЪЛГИ 40**,БР.,pcs,1.000,4.35
05060138,БОТУШИ КЪСИ С ВАТА N40**,БР.,pcs,8.000,5.62
05060139,БОТУШИ КЪСИ С ВАТА N41**,БР.,pcs,9.000,5.62
05060188,БОТУШИ КЪСИ С ВАТА N46**,БР.,pcs,2.000,5.62
